Fund Holdings as of,"May 20, 2026"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Par Value,Price,Location,Exchange,Currency,Duration,YTM (%),FX Rate,Maturity,Coupon (%),Mod. Duration,Yield to Call (%),Yield to Worst (%),Real Duration,Real YTM (%),Market Currency,Accrual Date,Effective Date
"SLF","SUN LIFE FINANCIAL INC","Financials","Equity","50,988,261.25","0.29","50,988,261.25","508,560.00","508,560.00","100.26","Canada","Toronto Stock Exchange","CAD","0.00","-","1.00","-","0.00","0.00","-","-","0.00","-","CAD","-","Mar 23, 2000"
"WCN","WASTE CONNECTIONS INC","Industrials","Equity","50,642,619.26","0.29","50,642,619.26","234,761.00","234,761.00","215.72","United States","Toronto Stock Exchange","CAD","0.00","-","1.00","-","0.00","0.00","-","-","0.00","-","CAD","-","-"
"CSCO","CISCO SYSTEMS INC","Information Technology","Equity","50,282,871.61","0.28","50,282,871.61","5,026,043.00","5,026,043.00","-","United States","NASDAQ","CAD","0.00","-","-","-","0.00","0.00","-","-","0.00","-","USD","-","Feb 16, 1990"
"ROP","ROCHE PS PAR AG","Health Care","Equity","50,193,302.95","0.28","50,193,302.95","87,639.00","87,639.00","572.73","Switzerland","SIX Swiss Exchange","CAD","0.00","-","-","-","0.00","0.00","-","-","0.00","-","CHF","-","Mar 17, 2026"
"CLS","CELESTICA INC","Information Technology","Equity","50,160,338.56","0.28","50,160,338.56","105,505.00","105,505.00","475.43","Canada","Toronto Stock Exchange","CAD","0.00","-","1.00","-","0.00","0.00","-","-","0.00","-","CAD","-","-"
"AZN","ASTRAZENECA PLC","Health Care","Equity","50,090,539.59","0.28","50,090,539.59","194,504.00","194,504.00","257.53","United Kingdom","London Stock Exchange","CAD","0.00","-","-","-","0.00","0.00","-","-","0.00","-","GBP","-","May 12, 1993"
"CSU","CONSTELLATION SOFTWARE INC","Information Technology","Equity","49,653,337.05","0.28","49,653,337.05","18,289.00","18,289.00","2,715.00","Canada","Toronto Stock Exchange","CAD","0.00","-","1.00","-","0.00","0.00","-","-","0.00","-","CAD","-","May 18, 2006"
"NOVN","NOVARTIS AG","Health Care","Equity","49,069,898.01","0.28","49,069,898.01","237,144.00","237,144.00","206.92","Switzerland","SIX Swiss Exchange","CAD","0.00","-","-","-","0.00","0.00","-","-","0.00","-","CHF","-","Jan 2, 1985"
"CAT","CATERPILLAR INC","Industrials","Equity","45,146,539.40","0.25","45,146,539.40","591,390.00","591,390.00","-","United States","New York Stock Exchange Inc.","CAD","0.00","-","-","-","0.00","0.00","-","-","0.00","-","USD","-","Nov 5, 1984"
"MA","MASTERCARD INC CLASS A","Financials","Equity","45,120,186.95","0.25","45,120,186.95","1,035,497.00","1,035,497.00","-","United States","New York Stock Exchange Inc.","CAD","0.00","-","-","-","0.00","0.00","-","-","0.00","-","USD","-","May 25, 2006"
"IFC","INTACT FINANCIAL CORP","Financials","Equity","44,666,024.29","0.25","44,666,024.29","163,038.00","163,038.00","273.96","Canada","Toronto Stock Exchange","CAD","0.00","-","1.00","-","0.00","0.00","-","-","0.00","-","CAD","-","Dec 10, 2004"
"NESN","NESTLE SA","Consumer Staples","Equity","44,118,186.07","0.25","44,118,186.07","321,397.00","321,397.00","137.27","Switzerland","SIX Swiss Exchange","CAD","0.00","-","-","-","0.00","0.00","-","-","0.00","-","CHF","-","Jan 2, 1985"
"DOL","DOLLARAMA INC","Consumer Discretionary","Equity","43,922,152.39","0.25","43,922,152.39","250,597.00","250,597.00","175.27","Canada","Toronto Stock Exchange","CAD","0.00","-","1.00","-","0.00","0.00","-","-","0.00","-","CAD","-","Oct 9, 2009"
"K","KINROSS GOLD CORP","Materials","Equity","43,351,326.22","0.24","43,351,326.22","1,101,686.00","1,101,686.00","39.35","Canada","Toronto Stock Exchange","CAD","0.00","-","1.00","-","0.00","0.00","-","-","0.00","-","CAD","-","Dec 18, 1989"
"SHEL","SHELL PLC","Energy","Equity","42,679,430.56","0.24","42,679,430.56","710,850.00","710,850.00","60.04","United Kingdom","London Stock Exchange","CAD","0.00","-","-","-","0.00","0.00","-","-","0.00","-","GBP","-","-"
"NTR","NUTRIEN LTD","Materials","Equity","42,600,262.80","0.24","42,600,262.80","442,049.00","442,049.00","96.37","Canada","Toronto Stock Exchange","CAD","0.00","-","1.00","-","0.00","0.00","-","-","0.00","-","CAD","-","Jan 2, 2018"
"FFH","FAIRFAX FINANCIAL HOLDINGS SUB VOT","Financials","Equity","42,471,265.08","0.24","42,471,265.08","18,892.00","18,892.00","2,248.15","Canada","Toronto Stock Exchange","CAD","0.00","-","1.00","-","0.00","0.00","-","-","0.00","-","CAD","-","Dec 18, 1989"
"ABBV","ABBVIE INC","Health Care","Equity","41,675,202.94","0.23","41,675,202.94","2,243,732.00","2,243,732.00","-","United States","New York Stock Exchange Inc.","CAD","0.00","-","-","-","0.00","0.00","-","-","0.00","-","USD","-","Dec 10, 2012"
"NFLX","NETFLIX INC","Communication","Equity","41,362,167.77","0.23","41,362,167.77","5,366,859.00","5,366,859.00","-","United States","NASDAQ","CAD","0.00","-","-","-","0.00","0.00","-","-","0.00","-","USD","-","May 23, 2002"
"LRCX","LAM RESEARCH CORP","Information Technology","Equity","40,561,212.98","0.23","40,561,212.98","1,587,231.00","1,587,231.00","-","United States","NASDAQ","CAD","0.00","-","-","-","0.00","0.00","-","-","0.00","-","USD","-","May 11, 1984"
"POW","POWER CORPORATION OF CANADA","Financials","Equity","40,124,135.73","0.23","40,124,135.73","489,558.00","489,558.00","81.96","Canada","Toronto Stock Exchange","CAD","0.00","-","1.00","-","0.00","0.00","-","-","0.00","-","CAD","-","Dec 18, 1989"
